date,product_title,units,revenue,views
2024-01-01,"Algebra Task Cards - Linear Equations",5,34.95,120
2024-01-01,"Geometry Worksheet Bundle",3,26.97,85
2024-01-01,"Fractions Activity Pack",8,39.92,210
2024-01-02,"Reading Comprehension Passages",2,25.98,95
2024-01-02,"Science Fair Project Ideas",4,31.96,145
2024-01-02,"Writing Prompts Collection",6,35.94,180
2024-01-03,"Math Centers Bundle",1,15.99,75
2024-01-03,"Phonics Games Collection",7,69.93,220
2024-01-03,"Social Studies Timeline",3,35.97,110
2024-01-04,"Spelling Word Lists",12,47.88,350
2024-01-04,"Algebra Task Cards - Linear Equations",4,27.96,98
2024-01-04,"Geometry Worksheet Bundle",2,17.98,67
2024-01-05,"Fractions Activity Pack",6,29.94,158
2024-01-05,"Reading Comprehension Passages",3,38.97,125
2024-01-05,"Science Fair Project Ideas",5,39.95,175
2024-01-06,"Writing Prompts Collection",9,53.91,245
2024-01-06,"Math Centers Bundle",2,31.98,115
2024-01-06,"Phonics Games Collection",4,39.96,145
2024-01-07,"Social Studies Timeline",6,71.94,198
2024-01-07,"Spelling Word Lists",15,59.85,425
2024-01-08,"Algebra Task Cards - Linear Equations",7,48.93,165
2024-01-08,"Geometry Worksheet Bundle",5,44.95,142
2024-01-08,"Fractions Activity Pack",10,49.90,278
2024-01-09,"Reading Comprehension Passages",4,51.96,158
2024-01-09,"Science Fair Project Ideas",3,23.97,89
2024-01-09,"Writing Prompts Collection",8,47.92,189
2024-01-10,"Math Centers Bundle",3,47.97,178
2024-01-10,"Phonics Games Collection",6,59.94,201
2024-01-10,"Social Studies Timeline",4,47.96,134
2024-01-10,"Spelling Word Lists",18,71.82,498
