date,product_title,units,revenue,views
2025-01-01,"Algebra Task Cards - Linear Equations",12,83.88,340
2025-01-01,"Reading Comprehension Passages - 3rd Grade",8,127.92,256
2025-01-02,"Geometry Worksheet Bundle - Area and Perimeter",5,64.95,189
2025-01-02,"Fractions Activities Pack - Addition and Subtraction",15,134.85,445
2025-01-03,"Science Vocabulary Cards - Earth Science",7,69.93,298
2025-01-03,"Writing Prompts Bundle - Creative Writing",9,107.91,367
2025-01-04,"Social Studies Activities - American History",3,56.97,142
2025-01-04,"Phonics Worksheets - Long and Short Vowels",18,143.82,521
2025-01-05,"Algebra Task Cards - Linear Equations",6,41.94,278
2025-01-05,"Reading Comprehension Passages - 3rd Grade",11,175.89,389
2025-01-06,"Geometry Worksheet Bundle - Area and Perimeter",4,51.96,167
2025-01-06,"Fractions Activities Pack - Addition and Subtraction",13,116.87,423
2025-01-07,"Science Vocabulary Cards - Earth Science",9,89.91,356
2025-01-07,"Writing Prompts Bundle - Creative Writing",7,83.93,289
2025-01-08,"Social Studies Activities - American History",5,94.95,201
2025-01-08,"Phonics Worksheets - Long and Short Vowels",22,175.78,634
2025-01-09,"Algebra Task Cards - Linear Equations",8,55.92,312
2025-01-09,"Reading Comprehension Passages - 3rd Grade",6,95.94,234
2025-01-10,"Geometry Worksheet Bundle - Area and Perimeter",7,90.93,245
2025-01-10,"Fractions Activities Pack - Addition and Subtraction",10,89.90,378
